YEAR,Result,Position,PLAYER_NAME,Team
2000,First Team,F,Tim Duncan,San Antonio Spurs
2000,First Team,F,Chris Webber,Sacramento Kings
2000,First Team,C,Shaquille O’Neal,Los Angeles Lakers
2000,First Team,G,Allen Iverson,Philadelphia 76ers
2000,First Team,G,Jason Kidd,Phoenix Suns
2000,Second Team,F,Kevin Garnett,Minnesota Timberwolves
2000,Second Team,F,Vince Carter,Toronto Raptors
2000,Second Team,C,Dikembe Mutombo,Atlanta Hawks/Philadelphia 76ers
2000,Second Team,G,Kobe Bryant,Los Angeles Lakers
2000,Second Team,G,Tracy McGrady,Orlando Magic
2000,Third Team,F,Karl Malone,Utah Jazz
2000,Third Team,F,Dirk Nowitzki,Dallas Mavericks
2000,Third Team,C,David Robinson,San Antonio Spurs
2000,Third Team,G,Ray Allen,Milwaukee Bucks
2000,Third Team,G,Gary Payton,Seattle SuperSonics
2001,First Team,F,Tim Duncan,San Antonio Spurs
2001,First Team,F,Chris Webber,Sacramento Kings
2001,First Team,C,Shaquille O’Neal,Los Angeles Lakers
2001,First Team,G,Allen Iverson,Philadelphia 76ers
2001,First Team,G,Jason Kidd,Phoenix Suns
2001,Second Team,F,Kevin Garnett,Minnesota Timberwolves
2001,Second Team,F,Chris Webber,Sacramento Kings
2001,Second Team,C,Dirk Nowitzki,Dallas Mavericks
2001,Second Team,G,Allen Iverson,Philadelphia 76ers
2001,Second Team,G,Gary Payton,Seattle SuperSonics
2001,Third Team,F,Jermaine O’Neal,Indiana Pacers
2001,Third Team,F,Ben Wallace,Detroit Pistons
2001,Third Team,C,Dikembe Mutombo,Philadelphia 76ers
2001,Third Team,G,Steve Nash,Dallas Mavericks
2001,Third Team,G,Paul Pierce,Boston Celtics
2002,First Team,F,Tim Duncan,San Antonio Spurs
2002,First Team,F,Kevin Garnett,Minnesota Timberwolves
2002,First Team,C,Shaquille O’Neal,Los Angeles Lakers
2002,First Team,G,Kobe Bryant,Los Angeles Lakers
2002,First Team,G,Tracy McGrady,Orlando Magic
2002,Second Team,F,Dirk Nowitzki,Dallas Mavericks
2002,Second Team,F,Chris Webber,Sacramento Kings
2002,Second Team,C,Ben Wallace,Detroit Pistons
2002,Second Team,G,Allen Iverson,Philadelphia 76ers
2002,Second Team,G,Jason Kidd,New Jersey Nets
2002,Third Team,F,Jamal Mashburn,New Orleans Hornets
2002,Third Team,F,Paul Pierce,Boston Celtics
2002,Third Team,C,Jermaine O’Neal,Indiana Pacers
2002,Third Team,G,Stephon Marbury,Phoenix Suns
2002,Third Team,G,Steve Nash,Dallas Mavericks
2003,First Team,F,Tim Duncan,San Antonio Spurs
2003,First Team,F,Kevin Garnett,Minnesota Timberwolves
2003,First Team,C,Shaquille O’Neal,Los Angeles Lakers
2003,First Team,G,Kobe Bryant,Los Angeles Lakers
2003,First Team,G,Jason Kidd,New Jersey Nets
2003,Second Team,F,Tracy McGrady,Orlando Magic
2003,Second Team,F,Peja Stojakovic,Sacramento Kings
2003,Second Team,F,Jermaine O’Neal,Indiana Pacers
2003,Second Team,C,Ben Wallace,Detroit Pistons
2003,Second Team,G,Sam Cassell,Minnesota Timberwolves
2003,Third Team,F,Ron Artest,Indiana Pacers
2003,Third Team,F,Dirk Nowitzki,Dallas Mavericks
2003,Third Team,C,Yao Ming,Houston Rockets
