YEAR,Result,Position,PLAYER_NAME,Team
2000,First Team,F,Marc Jackson,Golden State Warriors
2000,First Team,F,Kenyon Martin,New Jersey Nets
2000,First Team,C,Darius Miles,L.A. Clippers
2000,First Team,G,Mike Miller,Orlando Magic
2000,First Team,G,Morris Peterson,Toronto Raptors
2000,Second Team,F,Courtney Alexander,Washington Wizards
2000,Second Team,F,Marcus Fizer,Chicago Bulls
2000,Second Team,C,Desmond Mason,Seattle SuperSonics
2000,Second Team,G,Chris Mihm,Cleveland Cavaliers
2000,Second Team,G,Hedo Turkoglu,Sacramento Kings
2001,First Team,F,Shane Battier,Memphis Grizzlies
2001,First Team,F,Pau Gasol,Memphis Grizzlies
2001,First Team,F,Andrei Kirilenko,Utah Jazz
2001,First Team,C,Tony Parker,San Antonio Spurs
2001,First Team,G,Jason Richardson,Golden State Warriors
2001,Second Team,G,Eddie Griffin,Houston Rockets
2001,Second Team,F,Richard Jefferson,New Jersey Nets
2001,Second Team,F,Zeljko Rebraca,Detroit Pistons
2001,Second Team,C,Jamaal Tinsley,Indiana Pacers
2001,Second Team,G,Joe Johnson,Phoenix Suns
2001,Second Team,G,Vladimir Radmanovic,Seattle SuperSonics
2002,First Team,F,Caron Butler,Miami Heat
2002,First Team,F,Drew Gooden,Memphis Grizzlies/Orlando Magic
2002,First Team,F,Nene Hilario,Denver Nuggets
2002,First Team,C,Yao Ming,Houston Rockets
2002,First Team,G,Amare’ Stoudemire,Phoenix Suns
2002,Second Team,G,Carlos Boozer,Cleveland Cavaliers
2002,Second Team,F,J.R. Bremer,Boston Celtics
2002,Second Team,F,Manu Ginobili,San Antonio Spurs
2002,Second Team,C,Gordon Giricek,Memphis Grizzlies/Orlando Magic
2002,Second Team,G,Jay Williams,Chicago Bulls
2003,First Team,G,Carmelo Anthony,Denver Nuggets
2003,First Team,F,Chris Bosh,Toronto Raptors
2003,First Team,F,Kirk Hinrich,Chicago Bulls
2003,First Team,F,LeBron James,Cleveland Cavaliers
2003,First Team,C,Dwyane Wade,Miami Heat
2003,Second Team,G,Marquis Daniels,Dallas Mavericks
2003,Second Team,G,T.J. Ford,Milwaukee Bucks
2003,Second Team,F,Udonis Haslem,Miami Heat
2003,Second Team,F,Jarvis Hayes,Washington Wizards
2003,Second Team,C,Josh Howard,Dallas Mavericks
2004,First Team,G,Luol Deng,Chicago Bulls
2004,First Team,G,Josh Childress,Atlanta Hawks
2004,First Team,F,Ben Gordon,Chicago Bulls
2004,First Team,F,Dwight Howard,Orlando Magic
2004,First Team,F,Emeka Okafor,Charlotte Bobcats
2004,Second Team,C,Al Jefferson,Boston Celtics
2004,Second Team,G,Nenad Krstic,New Jersey Nets
2004,Second Team,G,Andre Iguodala,Philadelphia 76ers
2004,Second Team,F,Jameer Nelson,Orlando Magic
2004,Second Team,F,Josh Smith,Atlanta Hawks
2005,First Team,C,Andrew Bogut,Milwaukee Bucks
2005,First Team,G,Raymond Felton,Charlotte Bobcats
2005,First Team,G,Channing Frye,New York Knicks
2005,First Team,F,Ryan Gomes,Boston Celtics
2005,First Team,F,Chris Paul,New Orleans Hornets
2005,Second Team,F,Danny Granger,Indiana Pacers
2005,Second Team,C,Charlie Villanueva,Toronto Raptors
2005,Second Team,G,Luther Head,Houston Rockets
2005,Second Team,G,Deron Williams,Utah Jazz
2005,Second Team,F,Marvin Williams,Atlanta Hawks
2006,First Team,F,Andrea Bargnani,Toronto Raptors
2006,First Team,C,Paul Millsap,Utah Jazz
2006,First Team,G,Randy Foye,Minnesota Timberwolves
2006,First Team,G,Adam Morrison,Charlotte Bobcats
2006,First Team,F,Rudy Gay,Memphis Grizzlies
2006,Second Team,F,Craig Smith,Minnesota Timberwolves
2006,Second Team,F,Brandon Roy,Portland Trail Blazers
2006,Second Team,C,Tyrus Thomas,Chicago Bulls
2006,Second Team,G,LaMarcus Aldridge,Portland Trail Blazers
2006,Second Team,G,Rajon Rondo,Boston Celtics
2006,Second Team,F,Walter Hermann,Charlotte Bobcats
2006,Second Team,F,Marcus Williams,New Jersey Nets
2007,First Team,C,Kevin Durant,Seattle SuperSonics
2007,First Team,G,Carl Landry,Houston Rockets
2007,First Team,G,Jeff Green,Seattle SuperSonics
2007,First Team,F,Luis Scola,Houston Rockets
2007,First Team,F,Al Thornton,L.A. Clippers
2007,Second Team,F,Jamario Moon,Toronto Raptors
2007,Second Team,C,Juan Carlos Navarro,Memphis Grizzlies
2007,Second Team,G,Rodney Stuckey,Detroit Pistons
2007,Second Team,G,Thaddeus Young,Philadelphia 76ers
2008,First Team,F,Michael Beasley,Miami Heat
2008,First Team,F,Mario Chalmers,Miami Heat
2008,First Team,C,Brook Lopez,New Jersey Nets
2008,First Team,G,Marc Gasol,Memphis Grizzlies
2008,First Team,G,O.J. Mayo,Memphis Grizzlies
2008,Second Team,F,Eric Gordon,LA Clippers
2008,Second Team,F,Derrick Rose,Chicago Bulls
2008,Second Team,F,Kevin Love,Minnesota Timberwolves
2008,Second Team,C,Russell Westbrook,Oklahoma City Thunder
2008,Second Team,G,D.J. Augustin,Charlotte Bobcats
2008,Second Team,G,Rudy Fernandez,Portland Trail Blazers
2009,First Team,F,Darren Collison,New Orleans Hornets
2009,First Team,F,Stephen Curry,Golden State Warriors
2009,First Team,C,Tyreke Evans,Sacramento Kings
2009,First Team,G,Taj Gibson,Chicago Bulls
2009,First Team,G,Brandon Jennings,Milwaukee Bucks
2009,Second Team,F,DeJuan Blair,San Antonio Spurs
2009,Second Team,F,Jonny Flynn,Minnesota Timberwolves
2009,Second Team,F,James Harden,Oklahoma City Thunder
2009,Second Team,C,Jonas Jerebko,Detroit Pistons
2009,Second Team,G,Marcus Thornton,New Orleans Hornets
2010,First Team,G,DeMarcus Cousins,Sacramento Kings
2010,First Team,F,Landry Fields,New York Knicks
2010,First Team,F,Blake Griffin,LA Clippers
2010,First Team,C,Gary Neal,San Antonio Spurs
2010,First Team,G,John Wall,Washington Wizards
2010,Second Team,G,Eric Bledsoe,LA Clippers
2010,Second Team,F,Derrick Favors,Utah Jazz
2010,Second Team,F,Paul George,Indiana Pacers
2010,Second Team,F,Wesley Johnson,Minnesota Timberwolves
2010,Second Team,C,Greg Monroe,Detroit Pistons
2011,First Team,G,Kyrie Irving,Cleveland Cavaliers
2011,First Team,G,Ricky Rubio,Minnesota Timberwolves
2011,First Team,F,Kenneth Faried,Denver Nuggets
2011,First Team,F,Klay Thompson,Golden State Warriors
2011,First Team,C,Iman Shumpert,New York Knicks
2011,First Team,G,Kawhi Leonard,San Antonio Spurs
2011,First Team,G,Brandon Knight,Detroit Pistons
2011,Second Team,F,Chandler Parsons,Houston Rockets
2011,Second Team,F,Isaiah Thomas,Sacramento Kings
2011,Second Team,F,MarShon Brooks,New Jersey Nets
2011,Second Team,C,Derrick Williams,Minnesota Timberwolves
2011,Second Team,G,Tristan Thompson,Cleveland Cavaliers
2012,First Team,G,Damian Lillard,Portland Trail Blazers
2012,First Team,F,Bradley Beal,Washington Wizards
2012,First Team,F,Anthony Davis,New Orleans Pelicans
2012,First Team,C,Dion Waiters,Cleveland Cavaliers
2012,First Team,G,Harrison Barnes,Golden State Warriors
2012,Second Team,G,Andre Drummond,Detroit Pistons
2012,Second Team,F,Jonas Valanciunas,Toronto Raptors
2012,Second Team,F,Michael Kidd-Gilchrist,Charlotte Bobcats
2012,Second Team,F,Kyle Singler,Detroit Pistons
2012,Second Team,C,Tyler Zeller,Cleveland Cavaliers
2013,First Team,G,Michael Carter-Williams,Philadelphia Sixers
2013,First Team,G,Victor Oladipo,Orlando Magic
2013,First Team,F,Trey Burke,Utah Jazz
2013,First Team,F,Mason Plumlee,Brooklyn Nets
2013,First Team,C,Tim Hardaway Jr.,New York Knicks
2013,Second Team,G,Kelly Olynyk,Boston Celtics
2013,Second Team,G,Giannis Antetokounmpo,Milwaukee Bucks
2013,Second Team,F,Gorgui Dieng,Minnesota Timberwolves
2013,Second Team,F,Cody Zeller,Charlotte Bobcats
2013,Second Team,F,Steven Adams,Oklahoma City Thunder
2014,First Team,C,Andrew Wiggins,Minnesota Timberwolves
2014,First Team,G,Nikola Mirotic,Denver Nuggets
2014,First Team,G,Nerlens Noel,Philadelphia Sixers
2014,First Team,F,Elfrid Payton,Orlando Magic
2014,First Team,F,Jordan Clarkson,Los Angeles Lakers
2014,Second Team,C,Marcus Smart,Boston Celtics
2014,Second Team,G,Zach LaVine,Minnesota Timberwolves
2014,Second Team,G,Bojan Bogdanovic,Brooklyn Nets
2014,Second Team,F,Jusuf Nurkic,Denver Nuggets
2014,Second Team,F,Langston Galloway,New York Knicks
2015,First Team,F,Karl-Anthony Towns,Minnesota Timberwolves
2015,First Team,C,Kristaps Porzingis,New York Knicks
2015,First Team,G,Devin Booker,Phoenix Suns
2015,First Team,G,Nikola Jokic,Denver Nuggets
2015,First Team,F,Jahlil Okafor,Philadelphia Sixers
2015,Second Team,F,Justise Winslow,Miami Heat
2015,Second Team,C,D’Angelo Russell,Los Angeles Lakers
2015,Second Team,G,Emmanuel Mudiay,Denver Nuggets
2015,Second Team,G,Myles Turner,Indiana Pacers
2015,Second Team,F,Willie Cauley-Stein,Sacramento Kings
2016,First Team,F,Malcolm Brogdon,Milwaukee Bucks
2016,First Team,F,Dario Saric,Philadelphia Sixers
2016,First Team,C,Joel Embiid,Philadelphia Sixers
2016,First Team,G,Buddy Hield,Sacramento Kings
2016,First Team,G,Willy Hernangomez,New York Knicks
2016,Second Team,F,Jamal Murray,Denver Nuggets
2016,Second Team,F,Jaylen Brown,Boston Celtics
2016,Second Team,C,Marquese Chriss,Phoenix Suns
2016,Second Team,G,Brandon Ingram,L.A. Lakers
2016,Second Team,G,Yogi Ferrell,Dallas Mavericks
2017,First Team,F,Kyle Kuzma,Los Angeles Lakers
2017,First Team,F,Lauri Markkanen,Chicago Bulls
2017,First Team,F,Donovan Mitchell,Utah Jazz
2017,First Team,C,Ben Simmons,Philadelphia 76ers
2017,First Team,G,Jayson Tatum,Boston Celtics
2017,Second Team,G,Lonzo Ball,Los Angeles Lakers
2017,Second Team,F,Bogdan Bogdanovic,Sacramento Kings
2017,Second Team,F,John Collins,Atlanta Hawks
2017,Second Team,C,Josh Jackson,Phoenix Suns
2017,Second Team,G,Dennis Smith Jr.,Dallas Mavericks
2018,First Team,G,Luka Doncic,Dallas Mavericks
2018,First Team,F,Trae Young,Atlanta Hawks
2018,First Team,F,Deandre Ayton,Phoenix Suns
2018,First Team,F,Jaren Jackson Jr.,Memphis Grizzlies
2018,First Team,C,Marvin Bagley III,Sacramento Kings
2018,Second Team,G,Shai Gilgeous-Alexander,LA Clippers
2018,Second Team,G,Collin Sexton,Cleveland Cavaliers
2018,Second Team,F,Landry Shamet,LA Clippers
2018,Second Team,F,Mitchell Robinson,New York Knicks
2018,Second Team,C,Kevin Huerter,Atlanta Hawks
2019,First Team,G,Ja Morant,Memphis Grizzlies
2019,First Team,G,Kendrick Nunn,Miami Heat
2019,First Team,F,Brandon Clarke,Memphis Grizzlies
2019,First Team,F,Zion Williamson,New Orleans Pelicans
2019,First Team,F,Eric Paschall,Golden State Warriors
2019,Second Team,C,Tyler Herro,Miami Heat
2019,Second Team,G,Terence Davis II,Toronto Raptors
2019,Second Team,G,Coby White,Chicago Bulls
2019,Second Team,F,P.J. Washington Jr.,Charlotte Hornets
2019,Second Team,F,Rui Hachimura,Washington Wizards
2020,First Team,C,LaMelo Ball,Charlotte Hornets
2020,First Team,G,Anthony Edwards,Minnesota Timberwolves
2020,First Team,G,Tyrese Haliburton,Sacramento Kings
2020,First Team,F,Saddiq Bey,Detroit Pistons
2020,First Team,F,Jae’Sean Tate,Houston Rockets
2020,Second Team,F,Immanuel Quickley,New York Knicks
2020,Second Team,C,Desmond Bane,Memphis Grizzlies
2020,Second Team,G,Isaiah Stewart,Detroit Pistons
2020,Second Team,G,Isaac Okoro,Cleveland Cavaliers
2020,Second Team,F,Patrick Williams,Chicago Bulls
2021,First Team,F,Scottie Barnes,Toronto Raptors
2021,First Team,C,Cade Cunningham,Detroit Pistons
2021,First Team,G,Evan Mobley,Cleveland Cavaliers
2021,First Team,G,Franz Wagner,Orlando Magic
2021,First Team,F,Jalen Green,Houston Rockets
2021,Second Team,F,Herbert Jones,New Orleans Pelicans
2021,Second Team,F,Josh Giddey,Oklahoma City Thunder
2021,Second Team,C,Bones Hyland,Denver Nuggets
2021,Second Team,G,Ayo Dosunmu,Chicago Bulls
2021,Second Team,G,Chris Duarte,Indiana Pacers
2022,First Team,F,Paolo Banchero,Orlando Magic
2022,First Team,F,Walker Kessler,Utah Jazz
2022,First Team,C,Jalen Williams,Oklahoma City Thunder
2022,First Team,G,Bennedict Mathurin,Indiana Pacers
2022,First Team,G,Keegan Murray,Sacramento Kings
2022,Second Team,F,Jalen Duren,Detroit Pistons
2022,Second Team,F,Jaden Ivey,Detroit Pistons
2022,Second Team,F,Tari Eason,Houston Rockets
2022,Second Team,C,Jabari Smith Jr.,Houston Rockets
2022,Second Team,G,Jeremy Sochan,San Antonio Spurs
2023,First Team,F,Chet Holmgren,Oklahoma City Thunder
2023,First Team,F,Jaime Jaquez Jr.,Miami Heat
2023,First Team,C,Brandon Miller,Charlotte Hornets
2023,First Team,G,Brandin Podziemski,Golden State Warriors
2023,First Team,G,Victor Wembanyama,San Antonio Spurs
2023,Second Team,F,Keyonte George,Utah Jazz
2023,Second Team,F,GG Jackson II,Memphis Grizzlies
2023,Second Team,F,Dereck Lively II,Dallas Mavericks
2023,Second Team,C,Amen Thompson,Houston Rockets
2023,Second Team,G,Cason Wallace,Oklahoma City Thunder
